kf_id;text_id;user_id;key_features;
1;1;0;"1. The narrator lacks accurate knowledge of his age due to the deliberate ignorance imposed on slaves by their masters.\n2. Slave children are often separated from their mothers at an early age, hindering natural affection.\n3. The narrator's mother made rare nighttime visits, working as a field hand and risking punishment for being absent.\n4. The narrator's mother died when he was seven, and he didn't have a close relationship with her.\n5. Speculation exists that the narrator's white father may be his master, but the truth is unknown and unimportant.\n6. Slavery laws dictate that the children of slave women inherit their mothers' condition.\n7. Mixed-race slaves face additional hardships and are often sold due to conflicts with white mistresses.\n8. The narrator suggests that the increase in mixed-race slaves challenges the biblical justification for slavery.\n9. The narrator had two masters, with Captain Anthony being the first.\n10. Mr. Plummer, the overseer, was a cruel and brutal man who enjoyed inflicting punishments on slaves.\n11. The narrator's aunt, Aunt Hester, was horrifically whipped, an event that deeply affected the narrator.\n12. The narrator lived with his grandmother away from the main plantation, sheltered from the worst aspects of slavery.";
2;2;0;"1. The narrator lived on Colonel Lloyd's plantation as a slave.\n2. Captain Auld, the narrator's master, was the overseer of the plantation.\n3. Slavery was prevalent on the plantation, with hundreds of slaves owned by Colonel Lloyd.\n4. The plantation was located near Miles River and produced tobacco, corn, and wheat.\n5. The overseers of neighboring farms received guidance from the managers on the home plantation.\n6. Disputes among overseers were settled on the home plantation.\n7. Severely punished slaves were often sold to slave traders as a warning to others.\n8. Slaves received a monthly food allowance and yearly clothing.\n9. Sleeping conditions for slaves were poor, with most sleeping on the cold floor.\n10. Mr. Severe was a cruel overseer who enjoyed punishing slaves.\n11. Mr. Hopkins was seen as a comparatively less cruel overseer.\n12. The home plantation served as a central location for various activities performed by the slaves.\n13. Being selected for errands at the Great House Farm was considered a privilege by the slaves.\n14. The slaves sang songs on their way to the farm, expressing both joy and sadness.\n15. The songs of the slaves represented their sorrows and served as a release.\n16. The narrator was initially unaware of the deep meaning behind the slaves' songs.\n17. Slaves sang most when they were unhappy, using songs as a way to alleviate their sorrows.\n18. The narrator compares the singing of slaves to the crying of a person stranded on a desolate island.\n19. The songs of slaves should not be mistaken as a sign of contentment or happiness.\n20. The narrator's understanding of slavery was shaped by witnessing the slaves' songs and their deep emotional impact.";
3;3;0;"1. Colonel Lloyd maintains a large and well-tended garden on his plantation.\n2. People from neighboring areas visit the garden during summer months.\n3. Slaves are tempted to steal fruit from the garden and are punished for it.\n4. The fence surrounding the garden is tarred to catch potential thieves.\n5. Colonel Lloyd owns a splendid riding equipage and meticulously cares for his horses.\n6. Old Barney and young Barney, two slaves, are responsible for the stable and face severe punishment for any neglect.\n7. The author witnesses slaves being whipped unjustly or spared punishment when deserving it.\n8. Colonel Lloyd and his family members, residing on the plantation, enjoy whipping the slaves.\n9. The author estimates that Colonel Lloyd owns around a thousand slaves.\n10. A slave unknowingly criticizes Colonel Lloyd's treatment and is subsequently sold as punishment.\n11. Slaves often praise their masters when questioned to avoid consequences.\n12. Slaveholders send spies among their slaves to gather information on their views and feelings.\n13. Slaves suppress the truth to avoid punishment and conform to the maxim of "a still tongue makes a wise head."\n14. Slaves harbor prejudices and often think their own masters are superior to others.\n15. Quarrels and fights arise between slaves from different plantations over the perceived greatness of their masters.\n16. Slaves consider being a poor man's slave as particularly disgraceful.";
4;4;0;"1. All children grow up except Peter Pan.\n2. Wendy Darling realized she would grow up at the age of two.\n3. Wendy's parents, Mrs. Darling and Mr. Darling, lived at house number 14.\n4. Mrs. Darling was a lovely lady with a romantic mind and a sweet mocking mouth.\n5. Mr. Darling won her over by being the first to propose.\n6. Mr. Darling boasted about his financial knowledge.\n7. Wendy was the first child, followed by John and Michael.\n8. It was a financial challenge for the family to care for another child when Wendy arrived.\n9. Nana, a Newfoundland dog, was the children's nurse.\n10. Nana was diligent in her duties and accompanied the children to school.\n11. Nana was considered inferior by the other nurses.\n12. The Neverland is a magical place where children go to play.\n13. Each child has their own version of the Neverland in their minds.\n14. Peter Pan is a boy who lives with fairies.\n15. Mrs. Darling initially dismisses Peter Pan but starts to believe in his existence.\n16. Wendy believes Peter Pan comes to the nursery at night and plays his pipes.\n17. Mrs. Darling finds leaves on the floor, suggesting someone had been there.\n18. Wendy suggests that Peter Pan enters through the window.\n19. Mrs. Darling contemplates the possibility of Peter Pan's existence.";
5;5;0;"1. Mrs. Darling screams when she sees Nana about to attack a boy.\n2. The boy escapes through the window, and Mrs. Darling searches for him but finds only a shooting star.\n3. Nana has caught the boy's shadow, which Mrs. Darling hangs out the window.\n4. Mrs. Darling decides to put the shadow away in a drawer.\n5. The narrative shifts to the recollection of a fateful Friday evening.\n6. Mr. Darling becomes enraged over a tie he can't knot properly.\n7. Mr. Darling threatens not to go out to dinner if the tie is not tied properly.\n8. Mrs. Darling calmly ties the tie for him, and he forgets his rage.\n9. Mr. Darling dances around the room with Michael on his back.\n10. Nana enters the room, and Mr. Darling collides with her, getting hairs on his trousers.\n11. Mr. Darling complains about having a dog as a nurse.\n12. Mrs. Darling defends Nana, believing she knows the children have souls.\n13. Mr. Darling examines the boy's shadow and finds it ordinary.\n14. The family discusses the events of the fateful Friday evening.\n15. Mr. Darling confesses to losing the bottle of Michael's medicine.\n16. Wendy offers to retrieve the bottle from the top of the wardrobe.\n17. Mr. Darling complains about the taste of the medicine and makes a joke about pouring it into Nana's bowl.\n18. Nana drinks the medicine, and Mr. Darling realizes his mistake.\n19. Mrs. Darling is upset, while Wendy comforts Nana.\n20. Mr. Darling feels ashamed and resentful, expressing his frustrations.\n21. The passage ends with Mrs. Darling pleading for him to lower his voice.";
6;6;0;"1. Tootles mistakenly shoots Wendy with an arrow, thinking she is a bird.\n2. The boys realize their mistake and are filled with remorse.\n3. Peter arrives and is disappointed by the lack of a cheerful welcome.\n4. Peter announces that he has brought a mother for all the boys.\n5. The boys discover that Wendy is still alive.\n6. Peter is unable to strike Tootles with the arrow.\n7. Tinker Bell is upset by Wendy's presence.\n8. The boys decide to build a house around Wendy.\n9. They gather materials and sing a song while constructing the house.\n10. Peter realizes there is no chimney and uses John's hat as a substitute.\n11. They knock on the door, and Wendy comes out.\n12. The boys ask Wendy to be their mother.\n13. Wendy hesitates but eventually agrees.\n14. The chapter concludes with the boys rejoicing over finding their new mother.";
7;7;0;"1. The lagoon on Neverland is a magical place with mermaids.\n2. The mermaids are not friendly to the children, except for Peter.\n3. Wendy regrets never receiving a kind word from a mermaid.\n4. The lagoon is enchanting at moonlight but dangerous for mortals.\n5. Wendy doesn't wake the children when she senses danger.\n6. Peter wakes up and alerts the others about the approaching pirates.\n7. Peter impersonates Captain Hook's voice to confuse the pirates.\n8. He frees Tiger Lily, and she escapes into the water.\n9. The real Captain Hook arrives and becomes suspicious of the pirates' actions.\n10. Peter continues to taunt Hook in Hook's voice, confusing him.\n11. Hook demands to know the whereabouts of Tiger Lily.\n12. The pirates mistakenly claim they let her go, angering Hook.\n13. Peter's actions leave Hook uncertain and frightened.\n14. Smee and Starkey are terrified by the strange events.\n15. The children remain hidden in the water as the confrontation unfolds.\n16. Wendy feels both fear and pride throughout the events.\n17. The passage highlights Peter's cleverness and bravery.\n18. The relationship between the mermaids and the children is explored.\n19. Marooners' Rock and the lagoon serve as significant settings.\n20. The pirates' plan to kidnap the children's mother is revealed.\n21. Wendy and Peter's relationship is hinted at through their interactions.\n22. The passage showcases the power dynamics and conflicts among the characters.\n23. The presence of danger and the possibility of tragedy create tension.\n24. The passage explores themes of loyalty, courage,";
8;8;0;"1. Peter and the Lost Boys have become friends with the redskins.\n2. The redskins idolize Peter as the Great White Father.\n3. Peter enjoys the adoration, while the other boys feel annoyed.\n4. The children spend an uneventful day.\n5. They have a noisy meal with disputes and complaints.\n6. Wendy tries to maintain order but faces challenges.\n7. They prepare for a dance but end up having a pillow fight.\n8. The pillow fight becomes boisterous and enjoyable.\n9. They settle down for Wendy's storytelling.\n10. Peter usually dislikes her story but remains this time.";
9;9;0;"1. Captain Hook conducts a surprise pirate attack on the Piccaninnies, breaking the usual conventions of savage warfare.\n2. The redskins typically initiate attacks, using their wiliness and attacking just before dawn.\n3. The white men establish a stockade near water and wait for the redskins' assault.\n4. Hook's tactics surprise the redskins, who trust him implicitly and are caught off guard.\n5. The redskins remain stationary momentarily, upholding their tradition of not expressing surprise in the presence of the white man.\n6. The redskins engage in battle but are ultimately defeated, suffering heavy casualties.\n7. The text questions Hook's tactics and whether he should be blamed for disregarding conventional warfare.\n8. Hook's ultimate goal is to capture Pan, Wendy, and their group, primarily focusing on Peter due to a personal hatred towards him.\n9. The boys, who had initially appealed to Peter for help, now realize their fate is determined by the outcome of the battle.\n10. Peter reveals that the redskins' victory will be signaled by the beating of a tom-tom drum.\n11. Hook, to the surprise of his crew, orders Smee to beat the tom-tom, signaling an Indian victory.\n12. The pirates delight in the imminent arrival of the redskins, organizing themselves for the upcoming battle.";
10;10;0;"1. Montraville and Belcour, army officers, stop at Chichester on their way to Portsmouth.\n2. They decide to take a walk and observe the town and its inhabitants.\n3. They notice Madame Du Pont and her school of young girls coming from church.\n4. Montraville recognizes Charlotte Temple, whom he had met and danced with two years ago.\n5. Montraville becomes infatuated with Charlotte and desires to see her again.\n6. Belcour dismisses Montraville's infatuation, reminding him of their impending military mission.\n7. Montraville fantasizes about meeting Charlotte and decides to return to Chichester.\n8. He contemplates the consequences of pursuing a relationship with her.\n9. Despite his reservations, Montraville decides to abandon the idea and leave.\n10. Before leaving, he sees Charlotte and her companion emerge from the pleasure grounds.\n11. Montraville engages in conversation with Charlotte's companion, a French teacher.\n12. He discreetly passes a letter to Charlotte through her companion.\n13. Montraville gives Mademoiselle five guineas as a gesture.\n14. Mademoiselle promises to try and arrange another meeting between Montraville and Charlotte the next evening.";
